Index,Value,Time,Iterations
717,77161,1.400010660290718e-06,10
718,212760,4.699919372797012e-06,13
719,80956,1.500011421740055e-06,10
720,834401,1.400010660290718e-06,10
721,958989,3.600027412176132e-06,12
722,604851,1.3998942449688911e-06,10
723,871420,3.300025127828121e-06,12
724,786167,3.600027412176132e-06,12
725,204549,3.5999109968543053e-06,12
726,321842,1.500011421740055e-06,10
727,91710,1.500011421740055e-06,10
728,401908,6.7999353632330894e-06,15
729,485844,1.700012944638729e-06,10
730,440505,1.400010660290718e-06,10
731,812300,4.900037311017513e-06,13
732,249137,5.800044164061546e-06,14
733,70876,2.400018274784088e-06,11
734,182516,5.599926225841045e-06,14
735,773775,1.400010660290718e-06,10
736,989349,2.300017513334751e-06,11
737,89676,1.9000144675374031e-06,10
738,194717,2.300017513334751e-06,11
739,561409,8.199946023523808e-06,16
740,526322,2.500019036233425e-06,11
741,33472,2.200016751885414e-06,11
742,518968,2.200016751885414e-06,11
743,536480,1.300009898841381e-06,10
744,673800,2.100015990436077e-06,11
745,940623,1.400010660290718e-06,10
746,721339,1.400010660290718e-06,10
747,685260,1.999898813664913e-06,11
748,189651,1.400010660290718e-06,10
749,717185,2.500019036233425e-06,11
750,13540,1.600012183189392e-06,10
751,563986,3.4999102354049683e-06,12
752,523824,1.600012183189392e-06,10
753,676364,1.600012183189392e-06,10
754,525275,1.500011421740055e-06,10
755,931257,1.3998942449688911e-06,10
756,198618,1.500011421740055e-06,10
757,527704,1.400010660290718e-06,10
758,550046,2.500019036233425e-06,11
759,950237,2.299901098012924e-06,11
760,775855,1.400010660290718e-06,10
761,321203,5.900044925510883e-06,14
762,16103,4.599918611347675e-06,13
763,589809,2.400018274784088e-06,11
764,669727,5.799927748739719e-06,14
765,76146,1.500011421740055e-06,10
766,550104,1.500011421740055e-06,10
767,346900,2.100015990436077e-06,11
768,444288,2.100015990436077e-06,11
